Name,Position,SS Number,Year,Party Number,Class,Label
Friedrich August Enkelstroth,Born 18.11.1906 in Twistringen. Sipo Arnhem  SS-Obersturmführer. sentenced to 12 years imprisonment 12.04.1949 in 's-Hertogenbosch (released 28.08.1951). died 27.10.1955 in Hamburg,,,,2.6,Obersturmführer
Willy Lucas Falkenberg,Member of SD-section III,,,,2.6,Obersturmführer
Heinz Felfe,Born 18.03.1918. SD Switzerland and Netherlands; postwar KGB spy in British Intelligence and the CIA-sponsored Gehlen Organization. Exposed 06.11.1961 and tried 1963; sentenced to 14 years but exchanged in 1969 for 3 German Students. Died 08.05.2008,286288,1936,3710348,2.6,Obersturmführer
Hans Fleischhacker,born 10.03.1912 Töttleben. Erfurt. Involved with SS-Rasse- und Siedlungshauptamt. In 1948 designated a Mitläufer. case brought against him for involvement in KZ Auschwitz in 1970-but dismissed in 1971 on grounds of insufficient evidence. Died 30 January 1992,,1937,,2.6,Obersturmführer
Albert Konrad Gemmeker,Born 27 September 1907. Commandant of KZ Westerbork. Postwar sentenced to 10 years in prison; released 1951. Died 1982,,1 November 1940,,2.6,Obersturmführer
Kurt Gerstein,Born 11.08.1905. Munster  Westphalia. Germany. Member of the Institute for Hygiene of the Waffen-SS and author of the Gerstein Report. Died 25.07.1945 while a POW,417.460,10 March 1941,2.136.174,2.6,Obersturmführer
Werner Theodor Göttsch,Born 23 October 1912. Member of SD-section OST and SD-section III. Died 2 May 1983.,10.238,15 March 1931,459.389,2.6,Obersturmführer
Willy Gerhard Hack,Born. 26 March 1912. {SS-Oberscharführer} in SS-Panzer-Pionier-Battalion 3: Feb. 1942;SS-Obersturmführer in SS-Wirtschafts-Verwaltungshauptamt: Jan. 1945; in charge of construction site Schwalde V. {Jewish-American POWS were held here}. Hanged 26 July 1952  Dresden.,70329,,,2.6,Obersturmführer
Georg Güßregen,Born 1890.  Gross-Rosen 1941  Auschwitz 1942 and Flossenburg 1943,222498,10 September 1939,3988326,2.6,Obersturmführer
Walter Heinrich,Born 1910. Largerfuhrer KZ Amersfoort. Disappeared February 1945-fate unknown.,,,,2.6,Obersturmführer
Karl-Friedrich Höcker,Born 11 December 1911. Adjutant at KZ Auschwitz. From 1965 to 1970 in prison; 1989 sentenced to four years. Died 30 January 2000,182.961,October 1933,4.444.757,2.6,Obersturmführer
Arno Bernhard Huhn,Born 28.08.1911 in Potsdam. Sipo Arnhem  SS-Obersturmführer. sentenced to 17 years imprisonment 20.10.1948 in Arnhem (released 10.05.1954),,,,2.6,Obersturmführer
Hans Hermann Junge,Born 11 February 1944. Member of SS Division Leibstandarte;Führerbegleitkommando; SS Division Hitlerjugend.  Killed in Normandy France 13 August 1944,,1933,,2.6,Obersturmführer
Herbert Junk,SS airfield security guard in France,,,,2.6,Obersturmführer
Johann Kantschuster.,Born 20 May 1897. KZ Dachau; KZ Ravensbruck; Fort Breendonk (Belgium). Missing 1945 fate unknown,58541,1931,76941,2.6,Obersturmführer
Michael Karkoc,Born 6 March 1919. An Lt of the Ukrainian Legion and later the Waffen SS. Died 14 December 2019,,,,2.6,Obersturmführer
Dr. Johann Paul Kremer,Born 26 December 1883. SS doctor at Auschwitz; involved in Human experiments; tried 1947 Auschwitz trial death sentence cummuted to life in prison; released 1958; died 1965,262703,1934,1265405,2.6,Obersturmführer
Aleksander Laak,Born 1907. Lt in the Estonian Security Police and the SD. Commander of Jägala concentration camp. Died on 6 September 1960 Canada.,,,,2.6,Obersturmführer
Bruno Lohse,Born 17 September 1911. Goering's Reichsleiter Rosenberg Taskforce in Paris. Died 19 March 2007,,1933,,2.6,Obersturmführer
Dr. Franz Lucas,Born 15 September 1911  in Osnabrück  Germany. Assigned to KZ Auschwitz. died 7 December 1994  in Elmshorn  Germany.,350030,15 November 1937,,2.6,Obersturmführer
Gottfried Meir,Involved in killing of Ettore Ovazza family 11 October 1944  Meir was charged in 1954 in Klagenfurt but found not guilty.[citation needed] He was however convicted in absentia by a military court in Turin in 1955 and sentenced for life but never extradited.[citation needed],,,,2.6,Obersturmführer
Ernst Misselwitz,He became a trusted agent of the Sicherheitsdienst (SD)  and led numerous operations against the French Resistance. Ernst Misselwitz ran the interrogation and torture chamber in Paris Gestapo HQ. Before working Paris Misselwitz worked shorty in the Gestapo HQ in Lyon. With the Liberation of Paris on 25 August 1944  Misselwitz fled to Germany. In October 1945  the 36-year-old Misselwitz reported to the French security services. Misselwitz was arrested and imprisoned for a short time  and offered to be a spy among the inmates  starting in early 1946. In 1952 Misselwitz was convicted in a Paris court in absentia  he was sentenced to five years imprisonment for the torture of Brossolett  but was never found or arrested  as after his release he became a secret agent for the French special services.,,,,2.6,Obersturmführer
Heinz Müller,Born 27 July 1915,193096,,,2.6,Obersturmführer
Rudolf Neugebauer,Born 21.12.1912. Usf 12.3.38 with SDHA 1938; 1941  promotion to KK of KK z.Pr. Neugebauer  Stapo Darmstadt. BBL 14/41; head of the Vilnius Gestapo 2–42 till 10–43; shot and killed Jacob Gens 14 September 1943;1945  SS-Hstuf KK Rolf Neugebauer  Stapo Darmstadt  abgeordnet zum Befehlshaber der Sicherheitspolizei und des SD (BdS) Ungarn  awarded KVK I m.S. BBL 4/45,266047,,1086615,2.6,Obersturmführer
Josef Oberhauser,Born 21 January 1915. Served in SS Guard Detachment at KZ Belzec. Postwar 1948 sentenced to 15 years in prison and 10 years deprivation of civil rights; given amnesty and released 1956. 1964 sentenced to 4.5 years in prison-released after serving half his sentence. Died 22 November 1979.,288.121,November 1935,,2.6,Obersturmführer
Karlis Ozols,Born 1912. Commanded a Latvian/SD murder commando in Minsk Ghetto and Ghettos of Slutzk and Riga Ghetto. In August 1943 commanded 4th Company of the 282-A. Schutzmannschaft Battalion in Rīga. Transferred to the Lettische Freiwilligen Polizei Regiment 2 as the III Battalion on 4 February 1944 of the Latvian Legion. Died 2001 in Australia,,,,2.6,Obersturmführer
Friedrich Peter,Member of an Einstatzgruppe. Leader of the Freedom Party of Austria (FPÖ),,1938,,2.6,Obersturmführer
Richard Reinhard Ferdinand Pruchtnow,Born 8 April 1892. Member of SD-section OST and SD-section III. Died 22 June 1943,27.487,November 1931,531.273,2.6,Obersturmführer
Franz Rademacher,Born 20 February 1906. German Foreign Office official involved in the Shoah. Died 17 March 1973,,,,2.6,Obersturmführer
Hans Reisser,Member of RBK. Helped Burn Hitler and Eva Brauns Bodies May 1945.,,,,2.6,Obersturmführer
Pio Filippani Ronconi,Born 10 March 1910. Volunteer for the Waffen SS. Died 11 February 2010,,,,2.6,Obersturmführer
Hermann Schaper,Born 12 August 1911. He was a Holocaust perpetrator responsible for atrocities committed by the Einsatzgruppen in German-occupied Poland and the Soviet Union and was convicted after the war of numerous war crimes. Charged in 1964. Legal proceedings against him were terminated on 2 September 1965 despite his positive identification by the courts. He was retried in Germany in 1976 for other crimes against Poles and Jews and was sentenced to six years in prison  however following an appeal this was overturned and his health was declared too fragile for a new trial. On 10 April 2002  Hermann Schaper was interrogated in Germany in the presence of a Polish prosecutor in connection with the investigation into the pogrom in Jedwabne conducted at the time by the Institute of National Remembrance. He was unable to ask most of the questions prepared because the court doctor declared the witness unfit to participate in the proceedings. Reported to have died in his nineties in 2002,3484,1937,105606,2.6,Obersturmführer
Johann Schwarzhuber,Born 29 August 1904. KZ Auschwitz and KZ Ravensbruck. Tried and executed 3 May 1947,142.388,5 May 1933,1.929.969,2.6,Obersturmführer
Walter Sohst,Born 23 February 1898. Member of SD-section OST and SD-section III. Died 14 November 1964,36.087,1 September 1932,1.090.541,2.6,Obersturmführer
Hans Sommer (SS officer),Born 26 June 1914. Worked with Police in France. GDR agent after the war  as a Stasi agent planted into the post-war Gehlen Organization. Died 31 October 1987.,119 157,1 December 1932,1442457,2.6,Obersturmführer
Hans Stern,Served in 11th SS Volunteer Panzergrenadier Division Nordland and SS Brigade Westfalen,,,,2.6,Obersturmführer
Arnold Strippel,Born 6 February 1911 Unhausen. b. III Wachtruppe Sachsen: 1 June 1934 – 1938. b. 3 SS-TSta Thuringen: 1938–1941. 1941–1942 Stabsscharführer at Natzweiler commandant's office. Feldführer / KZ Lublin u. 2 Lagerführer: June 1942 – 5 July 1943. KZ Ravensbrück: 7.1943. Lagerführer KZ Herzogenbusch: 7.43–10.44. KZ Neuengamme: 10.44–5.45. {also involved with KZ Auschwitz; Sachsenburg; Buchenwald; Majanek} Involved in Bullenhuser Damm killings in 1945. Frankfurt Sentence 21x lebenslange Haft + 10 Jahre Haft 1.6.1949; released 21.4.1969. Frankfurt Sentence to the same sentence before + 121'500 Mark Busse 8.1969. Majdanek 3 Sentence 3 Jhr. + 3 Mte. Haft 30.6.1981. Died 1995 in Frankfurt-Kalbach,236290,,4334442,2.6,Obersturmführer
Anton Thumann,Schutzhaftlagerführung Gross-Rosen concentration camp Neuengamme concentration camp,24.444,,1.726.633,2.6,Obersturmführer
Hans Tidow,SS-Obersturmführer der Waffen-SS,3087,,124.424,2.6,Obersturmführer
Walter Trautwein,Born 21 November 1910 Mannheim; SA member 1929–1934; Served with Kripo (former mechanic);Commissioned SS-Ustuf. on 20 Apr.1938;DAL Dec.1938=SD-Hauptamt;Promoted SS-Ostuf. 20 Apr.1939; Einsatzkommando B – in Poland Sep. 1939;Promoted on 20 Apr. 1940;RSHA Sipo Trier. Vermisst 1 Oct. 1944 Wloszczowa,107112,,210651,2.6,Obersturmführer
Anton von Hohberg und Buchwald,Former SS-Oberabschnittsreiterführer {regional SS Cavalry leader; reported killed by SS General Erich von dem Bach-Zelewski during Night of the Long Knives in 1934,,,,2.6,Obersturmführer
Norbert Berghe von Trips,Born 18.1.1912 Graz  Referat IV D (Ausgewanderters  zak³adnicy.) Participated in executions of Poles and Jews in the Warsaw Ghetto ruins. Died 6.6. 1980,281 072,,,2.6,Obersturmführer
Paul Werner,born 12.10.1895. Usf 20.4.35 Osf 11.9.38 attached to Stammabteilung bezirk 16,45847,,1434282,2.6,Obersturmführer
Walter Witossek,Born 03.02.1901 in Dresden. KdS Warschau. Participated in executions of Poles and Jews in the Warsaw Ghetto ruins.died in hospital in Wroclaw,,,,2.6,Obersturmführer
Friedrich Wolffhardt,Born 7 December 1899. In April 1941  he was commissioned on the proposal of Martin Bormann  who was friends with him  to set up a library within the framework of the Guide Library  (Sonderauftrag) of Linz.[He was also associated with Professor Hans Posse). He headed the collection point for the library as part of the party law firm in Munich's leader building.  The collection point was moved in August 1943 to the former Villa of Camillo Castiglioni to Grundlsee near Bad Aussee  which stored books 1944/45 in the Salt mine Altaussee. On 21 February 1945  he was called to war service at his own request and has been missing since 1945.,,,,2.6,Obersturmführer
Woldemar Amelung,Born 11.11.1914 Kopjoni  Russia. Served in Latvian Army 1933–1934. Assignments: EG A  RSHA III B; Leiter Hauptaussenstelle der SIPO und des SD in Baranowitschi  VI 1942 – 11 X 1943. {Possibly participated in reprisals after Unternehmen Hermann (August 1943) and especially in the execution of 11 nuns?] SS-Ostuf. 9.11.1944  (SD). 1944–1945  worked in RSHA III B – Wlassow Dienststelle. Died on 19 XII 1954 in Paderborn.,357294,01.02.1940,8537705,2.7,Untersturmführer
Heinrich Andergassen,Born 30 July 1908. Tried and executed 26 July 1946 in killing US Soldier Roderick Stephen Hall and murders of six other Allied soldiers,,,,2.7,Untersturmführer
Bernhard Anhalt ,Defendant in 1957 trial of March 1945 Amsberger Massacre (Acquitted),,,,2.7,Untersturmführer
Karl Peter Berg,Born 18 April 1907. Largerfuhrer KZ Amersfoort. Captured tried and executed by firing Squad 22 November 1949,,,,2.7,Untersturmführer
Kort Paul Hans Bläse,Born 26.05.1900. Sipo Rotterdam. sentenced to 20 years imprisonment 28.03.1949 in Den Haag. released 29.03.1956,,,,2.7,Untersturmführer
Herbert Böttcher,Born 5.6.1913 Gunsdorf,8.134,,,2.7,Untersturmführer
Wilhelm Boger,Born 19 December 1906 Zuffenhausen. Police commissioner and member of the Political Department at Auschwitz; arrested 1959; tried 1965 later convicted of crimes against humanity; died in prison 3 April 1977 Bietigheim-Bissingen,2779,1930,153652,2.7,Untersturmführer
Dr. Karl Brandt,Born 8 January 1904. Promoted 20 April 1939. Postwar tried for war crimes and executed 2 June 1948,193764,,,2.7,Untersturmführer
Erhard Brauny,Sentenced to Life in prison for the 1945 Gardelegen Massacre;died of Lukemina in 1950,,,,2.7,Untersturmführer
Dr. Heinz Brücher,Born 14 January 1915. member of SS Ahnenerbe; Botanist. Died 17 December 1991,,,3498152,2.7,Untersturmführer
Prince Christoph of Hesse,Reserve captain at RFSS staff. Luftwaffe major,35903,,1498608 or 696176,2.7,Untersturmführer
Paul Dickopf,Born 9 June 1910. Wartime member of SD. Postwar president of Interpol. Died 19 September 1973,337259,1937,,2.7,Untersturmführer
Kurt Hermann August Döring,Sipo Amsterdam (IV A and IV B)  Kriminalobersekretär  SS-Untersturmführer. sentenced to 3 years imprisonment 01.07.1949 in Amsterdam (released 23.08.1950),,,,2.7,Untersturmführer
Benson Railton Metcalf Freeman,Born 6 October 1903. Lt RAF captured 22 May 1940; 1942-1944 worked for Germans in  propaganda. In October 1944 joined Waffen SS. Captured 9 May 1945 and sentenced to ten years in prison. Subsequent life unknown.[16],,,,2.7,Untersturmführer
Dr. Hermann Gauch,Born 6 May 1899. Nazi Race theorist Died 7 November 1978,222.175,1934,9.538 (1922) 3.474.227 (1934),2.7,Untersturmführer
Kurt Gildisch,Born 2 March 1904. 3rd commander of SS-Begleitkommando des Führers 1933–1934. Died 3 March 1956,13.138,29 September 1931,690.762,2.7,Untersturmführer
Maximilian Grabner,Born 2 October 1905. Gestapo agent and head of the Political Department at Auschwitz-infamous leader of Block 11; later executed for crimes against humanity on 28 January 1948,,September 1938,1214137,2.7,Untersturmführer
Kurt Graaf,Member of the SD-Section III,,,,2.7,Untersturmführer
Richard Gutkaes,Member of SD-section III,,,,2.7,Untersturmführer
Rudolf Hassel,head Sipo Amsterdam (department IV-B4);Kriminalsekretär. Reported arrested in the Netherlands,,,,2.7,Untersturmführer
Ludwig Heinemann,Born 03/01/1911. Promoted to SS-Untersturmführer on 12-09-1937,44.482,,67.453,2.7,Untersturmführer
Fritz Henke,SS-Oberscharführer,,,,2.7,Untersturmführer
Johann Klier,Guard Sobibor extermination camp. Testified 1950 trial of Hermann Erich Bauer,,,,2.7,Untersturmführer
Karl Wilhelm Franz Klünner,Born 08.03.1904 in Elmschenhagen. Sipo Assen  Kriminalsekretär; SS-Untersturmführer. sentenced to 16 years imprisonment 20.04.1949 in Den Haag (released 23.05.1955),,,,2.7,Untersturmführer
Ernst Knorr,Born 13.10.1899 in Heiligenbeil. Sipo Groningen  SS-Untersturmführer. suicide 07.07.1945 in Scheveningen (prison,,,,2.7,Untersturmführer
Georg Kruger,Born 05 XI 1898 Karlowitz/Karłowice. SS-Untersturmführer und Kriminalobersekretär; head of Unter Referat IV B4 (Judenangelegenheiten). [Warsaw]. Died 16 II 1945 Poznań],,,,2.7,Untersturmführer
Wolfgang Kügler,Was an SS-Untersturmführer (Second Lieutenant) and a Teilkommandoführer (detachment leader) for Einsatzkommando 2  a subdivision of Einsatzgruppe A. Following World War II  he was tried and found guilty of war crimes in West Germany. His sentence was reported to have been 8 months in prison and a fine. The most serious charge against him was that he had organized and been a commandter at the massacre of about 2 700 Jews  mostly women and children  on the beach at Liepāja  Latvia.,,,,2.7,Untersturmführer
Walter Kutschmann,Born 24 July 1914. Kriminalkommisar/Gestapo Chief in Drobohycz. After being identified as living in Argentina by Simon Wiesenthal arrested on 28 June 1975; he was later released on 29 June 1975. Rearrested in 1985; Kutschmann died in prison hospital 30 August 1986,404651,1940,7475729,2.7,Untersturmführer
Célestin Lainé,Born 1908. Leader of the Bezen Perrot. Fled from a post war sentence of death. Died 1983 Dublin Ireland,,,,2.7,Untersturmführer
Walter Wilhelm Lehne,Born 19.03.1891 in Magdeburg. Police and Gestapo Reichsführerschule SS in Prag. Gestapo-Leitstelle in Hamburg-Altona.1936 Grenzpolizeikommissariat Flensburg.1938 politische Überwachung der Arbeiter am Westwall. Sommer 1939-1945 stellvertretender Dienststellenleiter Gestapo Pardubice.death sentence in Waldheim 1950. not executed because extradited to Czechoslovakia Extradited 15.11.1950 to Czechoslovakia,,,,2.7,Untersturmführer
Hermann Maringgele,SS-Hauptscharführer and Zugführer,,,,2.7,Untersturmführer
Martin James Monti,Born 24 October 1921. US Army Air Corps deserter/airplane thief and SS propaganda officer; member of SS-Standarte Kurt Eggers; in 1946 courtmartialed for stealing a plane and deseration-sentenced to 15 years [sentence suspended] served in Army Air Force 1947–1948; rearrested 1948 and charged with treason; sentenced to 25 years;paroled 1960. Died 11 September 2000,,1945,,2.7,Untersturmführer
Dr. Hans Münch,Born 14 May 1911-d.about 2001. Assigned to KZ Auschwitz.,,,,2.7,Untersturmführer
Kārlis Mūsiņš,Waffen-SS Untersturmführer,,,,2.7,Untersturmführer
Johann Niemann,Born 4 August 1913. Deputy commandant of Sobibor extermination camp Executed in revolt 14 October 1943,270.600,1934,753.836,2.7,Untersturmführer
Rudolf August Oetker,born 20 September 1916 Bielefeld  Germany. Became a Ustuf:21.6.44. Died 16 January 2007 Hamburg Germany.,,,,2.7,Untersturmführer
Alfred Otto,Born 02.03.1900 Lodz. Gestapo Warsaw Referat IV A 3 c. Hiding in Paczków after the war. Trial at Warsaw in 1955. Sentenced to life imprisonment  later commuted to 25 years. Died 1968 in Warsaw prison,,,,2.7,Untersturmführer
Josef Pospichil,Born December 1899. Member of SD-section III/Gestapo. Involved KZ Majdanek; KZ Natzweiler-Struthof. Executed 14 February 1948,53.675,16 August 1932,1.096.992,2.7,Untersturmführer
Josef Rademacher,Born 26 Aug. 1912 Völkingen/Saar. Sipo/SD. Promoted SS-Ustuf. on 9 November 1941. Befehlshaber der Sicherheitspolizei und des SD (BdS) Hungary. Vermisst Dec. 1944 Budapest,29003,,887628,2.7,Untersturmführer
Wilhelm Karl Johannes Rosenbaum,Born 27 April 1915. Involved in killings at Bad Rabka. Arrested 1961; tried 1968 and sentenced to life; released 1982. Died 1984,,1 July 1936,,2.7,Untersturmführer
Willem Sassen,born 16 April 1918. Netherlands PK (Propaganda Kompanie). Died 2002,,,,2.7,Untersturmführer
Willi Schatz,Dentist at Auschwitz concentration camp,,,,2.7,Untersturmführer
Heinz Schildt,Member of SD-section OST and SD-section III,,,,2.7,Untersturmführer
Hanns-Martin Schleyer,Born 1 May 1915. Leader of board of Zentralverband der Industrie in Prague. Kidnapped and killed 18 October 1977,221714,30 June 1933,,2.7,Untersturmführer
Tscherim Soobzokov,Born either 1918 or 1924. Member of North Circassian Legion. Postwar was an agent for the CIA. Died 6 September 1985.,,,,2.7,Untersturmführer
Hans Stark,Born 14 June 1921 in Darmstadt. KZ Sachsenhausen; Buchenwald; Dachau; Auschwitz. Arrested April 1959; tried 1963–1964; released from prison 1968. Died 29 March 1991,319918,December 1937,,2.7,Untersturmführer
Johann Friedrich Stöver,Born 8 August 1899. Largerfuhrer KZ Amersfoort. On 7 June 1949  Stöver was sentenced to life imprisonment by the Special Court in Amsterdam. He was detained in Breda. In 1950 he was sentenced to death by the Special Council of Cassation  but a year later this sentence was commuted to life imprisonment. In May 1959  the life sentence was changed to 23 years and four months. Stöver was released in November 1960 and returned to Germany. Subsequent fate unknown.,,,,2.7,Untersturmführer
Reimond Tollenaere,Waffen SS Belgian Foreign Legion officer,,,,2.7,Untersturmführer
Lauri Törni,Finnish officer who joined the SS after the temporary peace treaty between Finland and the USSR  switching armies multiple times to continue combating communists. Ultimately ended his career as a Green Beret Major (posthumous) and US citizen in 1965 in Vietnam. Then named Larry Thorne  Törni is the only Waffen-SS member to be buried in Arlington National Cemetery.,,,,2.7,Untersturmführer
Friedrich Carl Ferdinand Viermann,Sipo Amsterdam  Kriminalsekretär  SS-Untersturmführer; sentenced to 7 years imprisonment 27.09.1949 in Amsterdam (released 31.03.1956),,,,2.7,Untersturmführer
Herbert Walther,born 23 April 1922. Served in both the 1st SS Panzer Division Leibstandarte SS Adolf Hitler and 12th SS Panzer Division Hitler Youth. Wounded and captured in the Ardennes Battles December 1944. Postwar book editor and historian.  Died 25 February 2003.,,,,2.7,Untersturmführer
Herbert Wenzel,Part of the Werewolf Operation Karnival in March 1945 which resulted in deaths of border guard Jozef Saive and Aachan Mayor Franz Oppenhoff. Wenzle changed his name to Fritz Brandt and died in Nambia in 1981.,,,,2.7,Untersturmführer
Paul Werner,SS Dutch legion member,280216,,1293714,2.7,Untersturmführer
Hans Walter Zech-Nenntwich,Born 10 July 1916. SS Cavalry Regiment member who was convicted for the killing of 5 200 Jews at the Pinsk Marshes and sentenced to four years in prison in 1964.,,,,2.7,Untersturmführer
Heinz Zeuner,Defendant in 1957 trial of March 1945 Amsberger Massacre {Acquitted},,,,2.7,Untersturmführer
Johannes Wilhelm Hoffmann,Born 22.05.1904. Sipo Rotterdam  SS-Sturmscharführer  Kriminalsekretär; sentenced to death 11.04.1949. commuted 13.07.1950. released 21.11.1960,,,,3.1,Sturmscharführer
Martin Johann Kohlen,Born 14.08.1910. Sipo Rotterdam  SS-Sturmscharführer/Kriminalsekretär. sentenced to life 11.03.1949. commuted 23.03.1950 to 21 years and 11-month imprisonment. released 10.12.1959,,,,3.1,Sturmscharführer
Karl Lamm,Born 18.11.1907 in Berlin. Sipo Assen  SS-Sturmscharführer. sentenced to 20 years imprisonment 20.04.1949 in Den Haag (in absence),,,,3.1,Sturmscharführer
Adolf Maurer,SS security administrator of Sachsenhausen concentration camp,,,,3.1,Sturmscharführer
Leopold Bruck,Commander of a Waffen-SS squad in France,,,,3.2,Hauptscharführer
Kurt Brunow,Born 9 March 1907. Member of SD-section OST and SD-section III,,1 November 1931,530.892,3.2,Hauptscharführer
Harold Cole,Born 24 January 1906. Ex British POW and double agent for the Sicherheitsdienst against the French Resistance. Killed 8 January 1946,,,,3.2,Hauptscharführer
Lorenz Hackenholt,Born 26 June 1914. SS-NCO in charge of gassing at Bełżec extermination camp; vanished May 1945; declared legally dead December 1945-fate unknown,,1933,1727962,3.2,Hauptscharführer
Otto Kempin,Sipo Amsterdam (IV B 4)  SS-Hauptscharführer. sentenced to 10 years imprisonment 08.04.1950 in Amsterdam (released 27.04.1951),,,,3.2,Hauptscharführer
Heinz Linke,Waffen-SS officer,,,,3.2,Hauptscharführer
Pieter Menten,Born 26 May 1899. Involved in 1941 Massacre of Lviv professors. Also involved in the killing of Jews. In 1949 sentenced to 8 months for working in a uniform as a Nazi Interpreter. In 1951 Dutch Govt refused his extradition to Poland. In 1980 he was sentenced to 10 years for war crimes. Died 14 November 1987,,,,3.2,Hauptscharführer
Friedrich Meyerhoff,Born 05.03.1916 Völlenerfehn). KZ Vught.sentenced to 13 years imprisonment 25.10.1949 in 's-Hertogenbosch. released 01.03.1956,,,,3.2,Hauptscharführer
Otto Moll,Born 24 March 1915. KZ Auschwitz. Director and chief head of all crematoria. Commandant of Furstengrube and Gleiwitz I concentration camps. Executed 28 May 1946.,267670,1 May 1935,,3.2,Hauptscharführer
Detlef Nebbe,Born 20 June 1912. KZ Auschwitz personnel. Sentenced to life by Supreme National Tribunal. Released by amnesty in the mid-1950s,,1933,,3.2,Hauptscharführer
Richard Heinrich Nitsch,Born 01.11.1908 Todtgüslingen. Sipo Maastricht  SS-Hauptscharführer. sentenced to life imprisonment 29.11.1948 in 's-Hertogenbosch. commuted 18.04.1959 to 22 years and 9-month imprisonment; released 05.04.1960. died 1990,,,,3.2,Hauptscharführer
Auke Bert Pattist.,Born 1920  Died 2001. SS sergeant,,,,3.2,Hauptscharführer
Georg Schallermair,Born 29 December 1894. At subcamp Muehldorf August 1944 until 1945. In the Dachau Camp Trial (part of the Dachau Trials) he was sentenced to death by hanging. He was executed at Landsberg prison 7 June 1951.,,,,3.2,Hauptscharführer
Walter Gerhard Martin Sommer,Born 08. February 1915. Hangman of KZ Buchenwald. Reduced in rank and sentenced to a penal Battlion. Taken POW by Red Army 1945. Status changed to war Criminal 1950. Released and exchanged 1955. Indiacted 1957 and found guilty of war Crimes 1958. Died 7 June 1988 in prison,110035,15 May 1934,294863,3.2,Hauptscharführer
Gustav Sorge,Born 24 April 1911. KZ Esterwegen concentration camp Sachsenhausen concentration camp died in Prison 1978,,1931,,3.2,Hauptscharführer
Erich von der Heyde,Born 1 May 1900. During 1936  von der Heyde became the advisor for nitrogen and agriculture in the Political-Economic Policy Department (WIPO  Wirtschaftspolitische Abteilung) of the I.G. in Berlin. From mid-1938 he was also the counterintelligence operative of I.G. Farben's NW 7 (intelligence) office  where his duties included counterintelligence and taking action against breaches of secrecy. In addition  he passed on reports from abroad that appeared to be of general interest  distributing them internally at the I.G. and sending them to the Wehrmacht. In this capacity  he was borrowed by the Reich Main Security Office (RSHA  Reichssicherheitshauptamt) and by 1940 had been promoted to Hauptscharführer. In September 1940  he was called up for service in the Wehrmacht  and until the war's end he served in the military-economic branch of the War Economy and Armament Office (Wehrwirtschafts- und Rüstungsamt; and later the War Economy Staff  or Wehrwirtschaftsstab). Acquitted in 1948 I.G. Farben trial. Died 5 August 1984,,1934,,3.2,Hauptscharführer
Gustav Franz Wagner,Born 18 July 1911 in Vienna Austria. Deputy commander of the Sobibór extermination camp. Died 3 October 1980 in Brazil.Wagner also served in Italy with other SS-Men from Operation Reinhard in Anti-Partisan activity.Wagner was awarded the War Merit Cross 2nd Class With Swords for his service.,,1931,443217,3.2,Hauptscharführer
Ernst Barkmann,Born 25 August 1919. Waffen-SS tank commander. Died 27 June 2009,,,,3.3,Oberscharführer
Hermann Erich Bauer,Born 26 March 1900. In charge of gas chambers at Sobibor extermination camp. In prison 1950–1980. Died 4 February 1980,,,,3.3,Oberscharführer
Rudolf Beckmann,Born 20 February 1910. Action T4; Sobibor extermination camp; killed in revolt 14 October 1943,,,,3.3,Oberscharführer
Kurt Bolender,Born 21 May 1912. In charge of gas chambers at Sobibor extermination camp; Action T4 died 10 October 1966,,,,3.3,Oberscharführer
Derk-Elsko Bruins,Born 20 March 1923. Dutch Collaborator who joined the Waffen SS. Awarded the Knight's Cross Medal. Died 5 February 1986 Germany. Brother of Siert Bruins,,,,3.3,Oberscharführer
Franz Bürkl,Deputy commander and infamous executioner at Pawiak Prison  Warsaw  Poland. Executed by Polish Underground 7 September 1943,,,,3.3,Oberscharführer
Wilhelm Emmerich,Born 7 February 1916. Assigned KZ Auschwitz. Shot and wounded by Franciszka Mann 23 October 1943. Died 22 May 1945 of typhus,,,,3.3,Oberscharführer
Karl Frenzel,Born 20 August 1911. T-4 program and KZ Sobibor in prison 1966–1982 Died 2 September 1996,,,334948,3.3,Oberscharführer
Bruno Gesche,Born 5 November 1905. A commander of SS-Begleitkommando des Führers; demoted from Obersturmbannführer 20 December 1944 for drunkenness; member of Dirlewanger Brigade Died 1980,1093,,8592,3.3,Oberscharführer
Hubert Gomerski,Guard at Sobibor extermination camp. Testified 1950 trial of Hermann Erich Bauer,,,,3.3,Oberscharführer
Siegfried Graetschus,Born 9 June 1916. KZ Sobibor-commanded Ukrainian guard  killed in revolt 14 October 1943,,20 Dec 1935,,3.3,Oberscharführer
Heinrich Harrer,Born 6 July 1912. Austrian mountaineer and explorer in Tibet. Died 7 January 2006,73.896,1 April 1938,6.307.081,3.3,Oberscharführer
Heinrich Heering,Born 29 July 1902 Reelkirchen. SS-Hscha. 12./LSSAH 01.41; SS-Ostuf. Nachsch.1 07.43;Ost IV.SS-Pz.Korps 11.44,50355,,,3.3,Oberscharführer
Georg Heidorn,Kriminalassistent (from Grenzpolizei Eupen-Malmedy). Involved in Operation Karnival March 1945 which resulted in death of Dutch Border Guard Jozef Saive and Aachen Mayor Franz Oppenhoff. In 1949 Sentenced to 1 year in prison; on 22.09.1952 LG Aachen reduced to 8 months.,,,,3.3,Oberscharführer
